# basecalls.tsv - one entry per run/flowcell
# run_id: A unique id for this run, it's best to avoid special characters
# enzyme: The case-sensitive name of the enzyme used, must be in biopython's list
# refgenome_ids: A comma-separated list of refgenome_ids, must match those provided in the references.tsv file
# biospecimen: An id for the sample (required if using the haplotype-aware version of the pipeline).
# fastq_path: Path to a fastq file containing the reads for this run. If a relative path is given then it is relative to the snakemake workdir
run_id	enzyme	refgenome_ids	biospecimen	fastq_path	fast5_directory	sequencing_summary_path
05abd15943451e65e1f58f17e75bb42bec8a59f7	NlaIII	Cavpor3.0	FAQ91555	../../02_basecalling/basecalling/pass/fastq_runid_05abd15943451e65e1f58f17e75bb42bec8a59f7_0_0.fastq.gz	../../02_basecalling/basecalling/workspace/	../../02_basecalling/basecalling/sequencing_summary.txt
05abd15943451e65e1f58f17e75bb42bec8a59f7	NlaIII	Cavpor3.0	FAQ91555	../../02_basecalling/basecalling/pass/fastq_runid_05abd15943451e65e1f58f17e75bb42bec8a59f7_3_0.fastq.gz	../../02_basecalling/basecalling/workspace/	../../02_basecalling/basecalling/sequencing_summary.txt
05abd15943451e65e1f58f17e75bb42bec8a59f7	NlaIII	Cavpor3.0	FAQ91555	../../02_basecalling/basecalling/pass/fastq_runid_05abd15943451e65e1f58f17e75bb42bec8a59f7_9_0.fastq.gz	../../02_basecalling/basecalling/workspace/	../../02_basecalling/basecalling/sequencing_summary.txt
05abd15943451e65e1f58f17e75bb42bec8a59f7	NlaIII	Cavpor3.0	FAQ91555	../../02_basecalling/basecalling/pass/fastq_runid_05abd15943451e65e1f58f17e75bb42bec8a59f7_10_0.fastq.gz	../../02_basecalling/basecalling/workspace/	../../02_basecalling/basecalling/sequencing_summary.txt
05abd15943451e65e1f58f17e75bb42bec8a59f7	NlaIII	Cavpor3.0	FAQ91555	../../02_basecalling/basecalling/pass/fastq_runid_05abd15943451e65e1f58f17e75bb42bec8a59f7_11_0.fastq.gz	../../02_basecalling/basecalling/workspace/	../../02_basecalling/basecalling/sequencing_summary.txt
05abd15943451e65e1f58f17e75bb42bec8a59f7	NlaIII	Cavpor3.0	FAQ91555	../../02_basecalling/basecalling/pass/fastq_runid_05abd15943451e65e1f58f17e75bb42bec8a59f7_12_0.fastq.gz	../../02_basecalling/basecalling/workspace/	../../02_basecalling/basecalling/sequencing_summary.txt
05abd15943451e65e1f58f17e75bb42bec8a59f7	NlaIII	Cavpor3.0	FAQ91555	../../02_basecalling/basecalling/pass/fastq_runid_05abd15943451e65e1f58f17e75bb42bec8a59f7_14_0.fastq.gz	../../02_basecalling/basecalling/workspace/	../../02_basecalling/basecalling/sequencing_summary.txt
05abd15943451e65e1f58f17e75bb42bec8a59f7	NlaIII	Cavpor3.0	FAQ91555	../../02_basecalling/basecalling/pass/fastq_runid_05abd15943451e65e1f58f17e75bb42bec8a59f7_15_0.fastq.gz	../../02_basecalling/basecalling/workspace/	../../02_basecalling/basecalling/sequencing_summary.txt
05abd15943451e65e1f58f17e75bb42bec8a59f7	NlaIII	Cavpor3.0	FAQ91555	../../02_basecalling/basecalling/pass/fastq_runid_05abd15943451e65e1f58f17e75bb42bec8a59f7_18_0.fastq.gz	../../02_basecalling/basecalling/workspace/	../../02_basecalling/basecalling/sequencing_summary.txt
05abd15943451e65e1f58f17e75bb42bec8a59f7	NlaIII	Cavpor3.0	FAQ91555	../../02_basecalling/basecalling/pass/fastq_runid_05abd15943451e65e1f58f17e75bb42bec8a59f7_20_0.fastq.gz	../../02_basecalling/basecalling/workspace/	../../02_basecalling/basecalling/sequencing_summary.txt
